STANDARD,10ST,20ST,fast,slow,reverse
24.57600583,12.35702371,8.877517028,17.28530881,12.18495081,21.48415332
284.658774,18.87641054,6.655370886,112.5608434,199.2451536,421.4416895
17.89084761,12.785483,5.66205533,13.86148433,4.107918022,8.991011479
12.92901201,6.357109659,-2.44217705,4.220104965,12.89455594,6.84263783
1.910246761,5.345909717,4.100107587,44.30597862,1.821584054,30.69545554
66.35798516,11.70347462,13.49354182,111.5669387,18.48501139,59.99708097
9.206313298,2.403227008,2.144395632,11.93726426,7.616326421,17.03744443
0.563963048,1.607985093,-2.47887628,3.498721141,0.00053796,3.211427411
-2.500369956,8.800722969,-1.986924414,5.085762053,-2.747655633,1.375048008
7.471133752,2.527904908,1.732758734,5.736393736,2.561524699,1.907080295
3.939836113,0.893892594,-0.879053568,8.008611721,0.337220673,4.028634661
2.336264822,6.66913265,-3.120590187,7.046802515,1.678496115,0.776661921
7.455421219,12.30490887,6.03530091,12.12491714,1.050558399,2.188839868
67.53195617,19.30868853,9.003458873,77.62801207,36.23730452,130.3541865
25.55917213,7.790909258,5.450179364,23.18708856,4.085885372,24.89273537
0.902419026,2.237661331,0.436102731,26.54743497,4.950867735,6.518446267
-14.499192,-12.8866487,-16.13147432,11.44232113,14.2302434,-6.98088493
7.632854287,6.560693577,110.935209,12.45717751,1.667145199,15.60900906
22.7904359,6.580229787,12.27339658,7.379093864,6.524678386,15.16583224
29.22112558,18.81155844,10.50252511,13.43743804,7.035388595,22.5883752
4.113434615,0.075732051,0.215383872,7.394556738,2.109171038,1.700166171
14.88640958,9.176159038,-0.825069211,9.640729516,5.872494511,14.13777221
-2.216131666,-0.14182395,1.566765891,19.0375303,5.556960895,3.329440178
11.00417342,10.94018071,8.587325055,8.675688394,4.074392687,9.399011136
45.34887381,13.39553891,0.994897747,15.98906435,18.14736318,35.9022958
10.92739611,7.225950046,16.88523713,28.05284153,-2.656704748,4.809494021
17.78593541,17.37281767,3.867132364,25.66824882,18.17398227,6.213996114
1.514764616,7.406055732,12.52004889,24.11310685,-1.346686386,5.018669771
3.742273914,4.894796112,3.155178263,12.12460804,3.323657642,5.074274322
11.785702,6.837095853,2.718248125,9.095732864,2.868496752,11.78840389
27.67187736,20.46563162,6.735199959,18.74825216,9.693744625,25.97914749
8.419459449,-5.443284224,-3.109237114,-0.012730444,-0.631950057,-0.942961193
