Cell #,P1.1B,P2.1D,P3.2F,8.1b,5.1F,7.1B,3.1b,8.2b,9.1D,FAST 3B,FAST 7b,FAST 8b,8B SLOW,7b slow,7B: -10 ST,7B: -20 ST,7B: +5 ST,8b: -10 ST,8b: -20 ST,8b: +5 ST,FM DWN 2hz,FM DWN 5hz,FM DWN 10hz
21,39.559443517,5.1641602927,-2.5503830736,587.5814970589,-1.3303235054,92.5641932806,6.5347058152,80.9805238277,28.124261557,5.0990456312,37.6265549823,301.1663942878,455.6798816834,55.2575533919,535.2495457021,-6.8745826318,16.3030191938,22.2758017349,6.0512173815,9.2699609711,40.4365843652,38.0663670425,23.1290503643
22,37.9452705575,5.7799915024,1.7857606841,28.8735688649,5.1269956304,33.6000154291,1.714072826,27.218783515,19.4226104719,-4.3145428452,16.903813922,3.5542903995,3.4503681848,26.5261183198,37.9154360315,22.0427409531,1.7099969009,8.8297995858,39.0220850721,6.6067608967,17.0618228949,18.5937868202,14.7965352625
23,26.9746798563,4.9640765491,3.8942139033,16.7935825278,3.426416758,21.1811740334,-1.2433699528,11.3622160878,16.1711278796,3.5347328193,20.4257891492,9.9422558454,11.0133116093,21.5222070499,18.6596599217,20.0082614652,4.2326430305,39.4325868361,25.7811170688,7.6683662206,26.6828670137,28.8290398734,20.1872476277
24,29.7445139855,3.7829151182,7.0717860949,23.0465938917,0.8243121665,25.8971534146,-1.8030704417,22.820243842,5.7802549182,3.0004553835,16.0684286474,4.6801411013,14.2797228755,27.4479292606,8.0389526658,23.9279217803,0.344959992,18.4935144784,27.2500639794,4.0247194329,24.6792795482,35.2894660304,19.1142990943
25,31.6352720897,7.2436006927,2.1214618024,12.306165105,-1.1723259067,22.5881257843,-1.1123839507,13.3496300149,1.1554379526,3.2435471131,15.9677550618,23.600398151,26.7339762522,46.0252947402,24.0212440438,10.7593937874,6.2685191305,12.9930780475,27.1075721355,10.4566535564,22.6408018327,84.1516599717,43.3774900423
26,29.3241356644,7.9591260834,-3.6195028998,25.9590990295,2.0062282114,27.4145026298,-4.0081958277,8.8195087084,12.2035585711,0.7629807975,17.7190704191,5.3238220278,22.3780702658,23.2124423474,23.7438726498,22.6408022674,-0.7202499794,18.9312726822,18.8451028322,7.4722620837,23.9027573063,24.2053701584,14.3514063896
27,29.6867330842,7.8027309218,-3.7995013403,22.8418646262,2.3058739643,38.1026089092,-8.0959417804,12.9087040144,7.1493849549,-4.3139559177,16.9755298643,6.0496177899,17.3172188055,30.6268433322,11.9977437018,34.9179456774,-0.3582536524,18.0962339348,30.4086683008,9.6822928823,8.7468639687,23.2283860976,9.3220520427
28,22.0892787972,-0.5803699349,3.8590619526,3.8527766211,6.0258291739,30.6017818658,0.2220547961,15.2945394729,16.6784803095,2.1158871046,10.9624482596,13.899960797,14.2902031703,25.0837529188,11.3427819544,20.3753973678,-4.2034066401,20.8303661989,16.9815751641,7.1769298961,25.8102035488,33.6427032195,26.0032424831
29,33.8945483894,-3.5664265871,-0.3247990467,15.3125106207,1.4837379086,24.2297807631,-10.1799220636,9.1914061807,12.3955023777,8.30688338,12.4470989404,-1.794193135,10.6892656852,,35.2966080695,15.8629756554,-0.6683262728,17.1201335104,19.6892982626,7.0297346651,20.1168852461,22.0673046169,8.5356537034
30,18.8838305477,1.1773720479,6.7632816869,12.849707591,-0.5496872542,18.4910167054,-7.5587460876,18.820819213,7.1834594007,-3.4592760094,23.4423709752,6.0316873129,15.8822709008,23.8780443916,6.4844844571,9.0919848798,2.173642663,32.1766041678,5.8628794416,0.104349837,15.2481521528,28.429788918,12.0554363765
